PassengerId,CryoSleep,Age,VIP,Name,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_unknown,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_unknown,Cabin_Deck_A,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,Cabin_Deck_T,RoomService_z,FoodCourt_z,ShoppingMall_z,Spa_z,VRDeck_z
0001_01,False,39.0,0.0,Maham Ofracculy,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.3330854995644595,-0.2810105660690542,-0.2835623212987354,-0.2706103380711169,-0.2629881601274078
0002_01,False,24.0,0.0,Juanna Vines,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.1680637640822872,-0.2753707284559115,-0.24175680205282152,0.21714575831257366,-0.22419177964790404
0003_01,False,58.0,1.0,Altark Susent,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,-0.2679851818971805,1.959884912219649,-0.2835623212987354,5.695295285274024,-0.21978310004796045
0003_02,False,33.0,0.0,Solam Susent,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,-0.3330854995644595,0.5229796181156231,0.3368315843106265,2.6870218019312615,-0.09281312756958464
0004_01,False,16.0,0.0,Willy Santantines,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.12564464585845977,-0.2371451624112776,-0.031056985053415604,0.2313608722326812,-0.26122468828743034
0005_01,False,44.0,0.0,Sandie Hinetthews,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-0.3330854995644595,0.021660719169604516,-0.2835623212987354,-0.012072953649160697,-0.2629881601274078
0006_01,False,26.0,0.0,Billex Jacostaffey,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.2694991427731637,0.683401665778349,-0.27854565898922573,-0.2706103380711169,-0.2629881601274078
0006_02,True,28.0,0.0,Candra Jacostaffey,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,-0.3330854995644595,-0.2810105660690542,-0.2835623212987354,-0.2706103380711169,-0.2629881601274078
0007_01,False,35.0,0.0,Andona Beston,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.3330854995644595,0.21090860352172655,-0.255134568211514,-0.07870630014966487,-0.2629881601274078
0008_01,True,14.0,0.0,Erraiam Flatic,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,-0.3330854995644595,-0.2810105660690542,-0.2835623212987354,-0.2706103380711169,-0.2629881601274078
