PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_unknown,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_unknown
0001_01,False,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,False,True,False,False,False,False,True,False
0002_01,False,F/0/S,24.0,0.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,True,False,False,False,False,False,True,False
0003_01,False,A/0/S,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,False,True,False,False,False,False,True,False
0003_02,False,A/0/S,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,False,True,False,False,False,False,True,False
0004_01,False,F/1/S,16.0,0.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,True,False,False,False,False,False,True,False
0005_01,False,F/0/P,44.0,0.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,True,False,False,False,False,True,False,False
0006_01,False,F/2/S,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,True,False,False,False,False,False,True,False
0006_02,True,G/0/S,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,True,False,False,False,False,False,True,False
0007_01,False,F/3/S,35.0,0.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,True,False,False,False,False,False,True,False
0008_01,True,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,False,True,False,False,True,False,False,False
0008_02,True,B/1/P,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,False,True,False,False,False,False,True,False
0008_03,False,B/1/P,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,False,True,False,False,True,False,False,False
0009_01,False,F/1/P,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,False,False,True,False,False,False,True,False
0010_01,False,G/1/S,48.0,0.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,True,False,False,False,False,False,True,False
0011_01,False,F/2/P,28.0,0.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,True,False,False,False,False,False,True,False
0012_01,False,,31.0,0.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,True,False,False,False,False,False,True,False
0014_01,False,F/3/P,27.0,0.0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,False,False,False,True,False,True,False,False,False
0015_01,False,F/4/P,24.0,0.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,True,False,False,False,True,False,False,False
0016_01,True,F/5/P,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,False,False,True,False,False,False,True,False
0017_01,False,G/0/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,True,False,False,False,False,False,True,False
0017_02,False,F/6/P,14.0,0.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,True,False,False,False,True,False,False,False
0020_01,True,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,True,False,False,False,False,False,True,False
0020_02,True,E/0/S,49.0,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,True,False,False,False,True,False,False,False
0020_03,True,E/0/S,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,True,False,False,False,True,False,False,False
0020_04,False,E/0/S,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,True,False,False,False,False,False,True,False
0020_05,True,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,True,False,False,False,False,True,False,False
0020_06,False,E/0/S,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,True,False,False,False,False,False,True,False
0022_01,False,D/0/P,21.0,0.0,980.0,2.0,69.0,0.0,0.0,,False,False,False,True,False,False,False,True,False
0024_01,True,C/2/S,62.0,0.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,False,True,False,False,False,False,True,False
0025_01,False,F/6/S,15.0,0.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,True,False,False,False,False,False,True,False
0026_01,False,C/0/P,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,False,True,False,False,True,False,False,False
0028_01,False,F/8/P,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,False,False,True,False,False,False,True,False
0030_01,False,G/4/S,32.0,0.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,True,False,False,False,False,False,True,False
0031_01,False,F/9/P,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,False,False,True,False,False,False,True,False
0031_02,False,F/9/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,False,False,True,False,False,False,True,False
0031_03,False,F/9/P,20.0,0.0,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,True,False,False,True,False,False,False,True,False
0034_01,True,D/1/S,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,False,True,False,False,True,False,False,False
0035_01,False,D/1/P,23.0,0.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,False,False,True,False,True,False,False,False
0036_01,False,F/8/S,15.0,False,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,True,False,False,False,True,False,False,False
0038_01,False,F/10/S,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,True,False,False,False,True,False,False,False
0039_01,True,G/1/P,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,True,False,False,False,True,False,False,False
0041_01,True,G/2/P,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,True,False,False,False,False,False,True,False
0043_01,False,B/3/P,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,False,True,False,False,False,False,True,False
0044_01,True,G/3/P,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,True,False,False,False,False,False,True,False
0044_02,True,G/3/P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,True,False,False,False,True,False,False,False
0044_03,True,G/3/P,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,True,False,False,False,False,True,False,False
0045_01,False,F/10/P,21.0,0.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,False,False,True,False,False,False,True,False
0045_02,True,F/10/P,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,False,False,True,False,False,False,False,True
0050_01,False,E/1/S,35.0,0.0,790.0,0.0,0.0,0.0,0.0,Sony Lancis,False,True,False,False,False,True,False,False,False
0051_01,False,E/2/S,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,True,False,False,False,False,False,True,False
0052_01,False,G/6/S,,0.0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,True,False,False,False,False,False,True,False
0053_01,False,F/11/S,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,True,False,False,False,False,False,True,False
0056_01,False,A/1/S,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,False,True,False,False,False,False,True,False
0056_02,True,A/1/S,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,False,True,False,False,False,False,True,False
0056_03,False,A/1/S,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,False,True,False,False,False,False,True,False
