,PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_unknown,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_unknown,Cabin_Deck_A,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,Cabin_Deck_T
0,0001_01,False,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,0002_01,False,24.0,0.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2,0003_01,False,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
3,0003_02,False,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
4,0004_01,False,16.0,0.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
5,0005_01,False,44.0,0.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
6,0006_01,False,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
7,0006_02,True,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
8,0007_01,False,35.0,0.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
9,0008_01,True,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
10,0008_02,True,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
